iter	RMSE
0	1.127374268
1	1.101521295
2	1.077802655
3	1.05423482
4	1.031718641
5	1.010484011
6	0.990243383
7	0.970720587
8	0.9520332492
9	0.9340815642
10	0.9174582333
11	0.9011916801
12	0.8858454141
13	0.871001383
14	0.8573184327
15	0.8439899308
16	0.8314230201
17	0.8193339612
18	0.807731815
19	0.7967904097
20	0.7862256605
21	0.776239798
22	0.7667900509
23	0.7576050773
24	0.7488490404
25	0.7406925975
26	0.7327605749
27	0.7254720096
28	0.7182838072
29	0.7111666633
30	0.7043753191
31	0.6979509657
32	0.6919358203
33	0.6864897789
34	0.6810455839
35	0.6759129933
36	0.6708354623
37	0.6659338471
38	0.6612880531
39	0.6570714067
40	0.653094651
41	0.6490768036
42	0.6449860733
43	0.6412348336
44	0.6379590551
45	0.6345336716
46	0.6314148898
47	0.6282572574
48	0.6253039545
49	0.6226412348
50	0.6197443609
51	0.6173150451
52	0.6149510934
53	0.6123154893
54	0.609833039
55	0.6076038321
56	0.6048287112
57	0.6026028932
58	0.6008891734
59	0.5989460473
60	0.5966058917
61	0.5947854465
62	0.5930726001
63	0.5913231821
64	0.5900412725
65	0.5883162883
66	0.5864602982
67	0.5839587266
68	0.5821436892
69	0.5802384433
70	0.5788260919
71	0.5774865508
72	0.5758635273
73	0.573119351
74	0.5711221778
75	0.5700414307
76	0.5684120428
77	0.5674479825
78	0.5661866882
79	0.5647305275
80	0.5636966259
81	0.5627828752
82	0.5614189588
83	0.5603429485
84	0.5588626173
85	0.5571188491
86	0.5558705856
87	0.5550682098
88	0.5539459497
89	0.5529417835
90	0.551963491
91	0.5510351797
92	0.5500075424
93	0.5492168433
94	0.5481804541
95	0.5468222322
96	0.5458684809
97	0.5451189324
98	0.5442826411
99	0.5434923563
100	0.5427247051
101	0.541902828
102	0.5400839561
103	0.5390507648
104	0.538475061
105	0.5378176901
106	0.5371187631
107	0.5356049319
108	0.5349326935
109	0.5337280125
110	0.5330476908
111	0.5324389607
112	0.5319397057
113	0.5308233313
114	0.5297936371
115	0.5292631191
116	0.5285166447
117	0.5277732314
118	0.5271994862
119	0.5266884021
120	0.5261537048
121	0.5254116502
122	0.524832719
123	0.5242161867
124	0.5223667536
125	0.5212697728
126	0.5205512255
127	0.5201172838
128	0.5193897566
129	0.5189347471
130	0.5183472152
131	0.5178587155
132	0.5173514029
133	0.5168945035
134	0.5162828309
135	0.5158396822
136	0.5146812251
137	0.5141818114
138	0.5137011675
139	0.5118762665
140	0.5112950278
141	0.5107804993
142	0.5096654341
143	0.5088143865
144	0.5082039955
145	0.5076150662
146	0.5072721995
147	0.5065429875
