iter	Passed	Remaining
0	1	846
1	3	827
2	5	855
3	6	828
4	8	834
5	9	808
6	11	794
7	12	790
8	14	790
9	15	774
10	17	775
11	18	767
12	20	763
13	21	759
14	23	751
15	25	761
16	27	775
17	28	769
18	30	764
19	31	758
20	32	750
21	34	744
22	35	740
23	37	741
24	38	739
25	40	734
26	42	738
27	43	734
28	45	740
29	47	739
30	48	735
31	50	734
32	51	734
33	53	733
34	55	732
35	56	730
36	58	730
37	59	728
38	61	725
39	63	724
40	64	721
41	65	718
42	67	717
43	69	715
44	70	712
45	71	710
46	73	712
47	75	709
48	76	705
49	78	702
50	79	700
51	81	698
52	82	697
53	84	695
54	85	691
55	87	690
56	88	688
57	90	689
58	91	686
59	93	684
60	94	683
61	96	681
62	97	678
63	99	677
64	100	675
65	102	674
66	104	673
67	105	672
68	107	670
69	108	667
70	110	665
71	111	663
72	113	661
73	114	659
74	116	657
75	117	655
76	119	653
77	120	651
78	121	649
79	123	648
80	124	646
81	126	644
82	127	642
83	129	642
84	131	640
85	132	638
86	134	637
87	135	635
88	137	633
89	138	631
90	140	630
91	141	629
92	143	627
93	144	625
94	146	624
95	147	621
96	149	619
97	150	618
98	152	616
99	153	614
100	155	612
101	156	611
102	158	609
103	159	608
104	161	605
105	162	603
106	163	601
107	165	600
108	166	598
109	168	596
110	169	594
111	171	592
112	172	590
113	173	588
114	174	585
115	175	582
116	177	579
117	178	577
118	179	574
119	180	571
120	181	569
121	182	566
122	184	564
123	185	561
124	186	559
125	187	556
126	188	555
127	190	552
128	191	550
129	192	547
130	193	544
131	194	542
132	195	539
133	196	537
134	198	535
135	199	533
136	200	531
137	201	529
138	203	527
139	204	525
140	205	523
141	206	520
142	207	519
143	209	516
144	210	514
145	211	512
146	212	510
147	213	508
148	215	506
149	216	504
150	217	503
151	218	500
152	219	498
153	221	496
154	222	495
155	223	492
156	224	490
157	225	488
158	226	486
159	227	484
160	229	482
161	230	480
162	231	478
163	232	476
164	233	474
165	234	472
166	235	470
167	237	468
168	238	466
169	239	465
170	240	462
171	241	461
172	243	459
173	244	457
174	245	455
175	246	453
176	247	451
177	248	449
178	249	448
179	251	446
180	252	444
181	253	443
182	254	441
183	255	439
184	257	437
185	258	435
186	259	433
187	260	431
188	261	430
189	262	428
190	263	426
191	264	424
192	265	423
193	267	421
194	268	419
195	269	418
196	270	416
197	272	414
198	273	413
199	274	411
200	275	409
201	276	408
202	278	406
203	279	405
204	280	403
205	281	401
206	282	399
207	283	398
208	284	396
209	285	394
210	287	393
211	288	391
212	289	390
213	290	388
214	292	387
215	293	385
216	294	384
217	295	382
218	297	381
219	298	379
220	299	377
221	300	376
222	301	374
223	303	373
224	304	372
225	305	370
226	306	368
227	307	367
228	309	365
229	310	364
230	311	362
231	312	361
232	313	359
233	314	357
234	316	356
235	317	354
236	318	353
237	319	351
238	320	350
239	322	348
240	323	347
241	324	346
242	325	344
243	326	343
244	327	341
245	329	339
246	330	338
247	331	336
248	332	335
249	333	333
250	334	332
251	336	330
252	338	330
253	339	328
254	340	327
255	341	325
256	342	324
257	344	322
258	345	321
259	346	319
260	347	318
261	348	316
262	349	315
263	351	313
264	352	312
265	353	310
266	354	309
267	355	308
268	357	306
269	358	305
270	359	303
271	360	302
272	361	300
273	363	299
274	364	298
275	365	296
276	366	295
277	368	294
278	369	292
279	370	291
280	371	289
281	372	288
282	373	286
283	375	285
284	376	283
285	377	282
286	378	280
287	379	279
288	381	278
289	382	276
290	383	275
291	384	274
292	385	272
293	387	271
294	388	269
295	389	268
296	391	267
297	392	266
298	393	264
299	394	263
300	396	261
301	397	260
302	398	258
303	399	257
304	400	256
305	401	254
306	402	253
307	403	251
308	404	250
309	406	248
310	407	247
311	408	246
312	409	244
313	410	243
314	412	242
315	413	240
316	414	239
317	415	238
318	417	236
319	418	235
320	419	233
321	420	232
322	421	231
323	422	229
324	424	228
325	425	227
326	426	225
327	428	224
328	429	223
329	430	221
330	431	220
331	432	219
332	433	217
333	435	216
334	437	215
335	438	214
336	439	212
337	440	211
338	442	209
339	443	208
340	444	207
341	445	205
342	446	204
343	447	203
344	448	201
345	449	200
346	451	198
347	452	197
348	454	196
349	455	195
350	456	193
351	457	192
352	458	190
353	459	189
354	460	188
355	461	186
356	463	185
357	464	184
358	465	182
359	466	181
360	468	180
361	469	179
362	470	177
363	472	176
364	473	175
365	474	173
366	476	172
367	477	171
368	478	169
369	480	168
370	481	167
371	482	165
372	483	164
373	485	163
374	486	162
375	488	160
376	489	159
377	490	158
378	491	156
379	492	155
380	493	154
381	494	152
382	496	151
383	497	150
384	498	148
385	499	147
386	501	146
387	503	145
388	504	143
389	505	142
390	506	141
391	507	139
392	508	138
393	510	137
394	511	135
395	512	134
396	513	133
397	515	132
398	516	130
399	518	129
400	519	128
401	520	126
402	522	125
403	523	124
404	524	123
405	525	121
406	526	120
407	528	119
408	529	117
409	530	116
410	531	115
411	532	113
412	534	112
413	535	111
414	536	109
415	538	108
416	539	107
417	540	106
418	541	104
419	543	103
420	544	102
421	545	100
422	546	99
423	548	98
424	549	96
425	551	95
426	552	94
427	553	93
428	554	91
429	555	90
430	556	89
431	557	87
432	559	86
433	560	85
434	561	83
435	562	82
436	563	81
437	565	79
438	566	78
439	568	77
440	569	76
441	570	74
442	572	73
443	573	72
444	574	70
445	575	69
446	576	68
447	577	67
448	579	65
449	580	64
450	581	63
451	583	61
452	584	60
453	585	59
454	586	58
455	588	56
456	589	55
457	590	54
458	591	52
459	592	51
460	594	50
461	595	48
462	596	47
463	597	46
464	599	45
465	601	43
466	602	42
467	603	41
468	604	39
469	606	38
470	607	37
471	608	36
472	609	34
473	611	33
474	612	32
475	613	30
476	614	29
477	616	28
478	618	27
479	619	25
480	620	24
481	621	23
482	622	21
483	624	20
484	625	19
485	626	18
486	627	16
487	628	15
488	629	14
489	631	12
490	632	11
491	634	10
492	636	9
493	637	7
494	638	6
495	639	5
496	641	3
497	642	2
498	643	1
499	644	0
